epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 19.39538043478261 4.6365489130434785
1 29.17144495412844 29.31479357798165 39.50407608695652 39.36820652173913
2 35.00573394495413 34.518348623853214 40.828804347826086 41.54211956521739
3 37.69352064220183 37.664850917431195 42.93478260869565 42.34035326086956
4 39.65739678899082 39.58572247706422 41.55910326086956 40.20040760869565
5 41.112385321100916 40.74684633027523 43.172554347826086 42.01766304347826
6 42.64621559633027 42.19466743119266 42.62907608695652 42.391304347826086
7 43.67115825688074 43.147935779816514 43.59714673913044 43.39334239130435
8 45.14048165137615 44.581422018348626 42.81589673913044 42.35733695652174
9 45.01146788990825 45.111811926605505 40.947690217391305 41.42323369565217
10 45.79271788990825 46.39478211009175 43.86888586956522 43.34239130434783
11 47.340883027522935 47.31221330275229 42.42527173913044 43.98777173913044
12 48.64535550458716 48.638188073394495 42.83288043478261 42.510190217391305
13 49.22591743119266 49.55561926605505 43.86888586956522 43.44429347826087
14 49.95699541284404 49.98566513761468 42.54415760869565 43.24048913043478
15 50.0 49.82798165137615 43.61413043478261 44.24252717391305
16 50.831422018348626 50.65940366972477 44.19157608695652 43.49524456521739
17 51.88503440366973 51.75602064220183 41.88179347826087 41.89877717391305
18 51.95670871559633 52.143061926605505 43.00271739130435 42.54415760869565
19 52.372419724770644 52.487098623853214 43.37635869565217 43.291440217391305
20 52.24340596330275 52.20756880733945 43.46127717391305 42.84986413043478
21 53.28268348623853 53.41169724770642 43.30842391304348 43.32540760869565
22 53.555045871559635 53.86324541284404 43.83491847826087 42.93478260869565
23 54.18577981651376 54.106938073394495 43.78396739130435 42.71399456521739
24 54.393635321100916 54.28612385321101 43.172554347826086 43.46127717391305
25 54.544151376146786 54.79501146788991 43.85190217391305 42.95176630434783
26 55.08887614678899 53.91341743119266 43.63111413043478 42.34035326086956
27 55.74827981651376 54.83801605504587 43.52921195652174 42.93478260869565
28 55.382740825688074 56.14248853211009 42.17051630434783 43.13858695652174
29 55.58342889908257 55.99197247706422 43.155570652173914 43.22350543478261
30 56.034977064220186 56.40051605504587 43.61413043478261 43.953804347826086
31 57.07425458715596 57.23910550458716 43.58016304347826 43.817934782608695
32 56.76605504587156 56.887901376146786 43.49524456521739 43.20652173913044
33 56.91657110091743 57.02408256880734 43.24048913043478 42.15353260869565
34 57.15309633027523 57.25344036697248 43.817934782608695 43.953804347826086
35 57.27494266055046 57.38962155963303 43.682065217391305 43.76698369565217
36 57.27494266055046 56.91657110091743 43.155570652173914 42.96875
37 58.09202981651376 57.82683486238532 43.32540760869565 42.93478260869565
38 58.242545871559635 58.428899082568805 43.85190217391305 42.98573369565217
39 58.07052752293578 58.357224770642205 43.85190217391305 43.37635869565217
40 57.862672018348626 58.33572247706422 42.91779891304348 42.96875
41 58.21387614678899 58.78010321100918 43.10461956521739 42.79891304347826
42 58.50057339449541 59.09547018348624 43.69904891304348 42.781929347826086
43 54.43663990825688 58.05619266055046 41.796875 42.81589673913044
44 57.59030963302752 59.6473623853211 43.73301630434783 43.66508152173913
45 59.159977064220186 59.6473623853211 43.39334239130435 43.036684782608695
46 58.758600917431195 58.772935779816514 43.39334239130435 42.95176630434783
47 58.88044724770642 59.174311926605505 42.86684782608695 43.34239130434783
48 59.12413990825688 57.44696100917431 43.73301630434783 42.54415760869565
49 59.74770642201835 58.09919724770642 43.90285326086956 44.327445652173914
50 59.74053899082569 59.33199541284404 42.28940217391305 42.374320652173914
51 58.9019495412844 58.88044724770642 43.83491847826087 43.34239130434783
