epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 19.769021739130434 25.067934782608695
1 18.75 18.88618119266055 26.83423913043478 27.51358695652174
2 22.68491972477064 23.05762614678899 32.38790760869565 34.03532608695652
3 25.157683486238533 25.078841743119266 35.98845108695652 36.83763586956522
4 26.82052752293578 27.157396788990827 37.58491847826087 37.07540760869565
5 28.3615252293578 28.211009174311926 38.485054347826086 38.58695652173913
6 30.09604357798165 30.110378440366972 37.44904891304348 36.20923913043478
7 30.47591743119266 30.146215596330276 38.12839673913044 37.77173913043478
8 30.72677752293578 30.905963302752294 37.73777173913044 36.58288043478261
9 32.43262614678899 32.11009174311926 36.786684782608695 36.514945652173914
10 32.92717889908257 33.22104357798165 37.73777173913044 36.99048913043478
11 34.955561926605505 35.02723623853211 38.41711956521739 36.905570652173914
12 35.507454128440365 35.16341743119266 37.85665760869565 37.94157608695652
13 36.03067660550459 36.518061926605505 37.5 37.90760869565217
14 36.955275229357795 36.66141055045872 37.177309782608695 38.04347826086956
15 37.550172018348626 37.586009174311926 38.16236413043478 38.485054347826086
16 38.01605504587156 38.03755733944954 37.19429347826087 37.92459239130435
17 38.58228211009175 38.54644495412844 37.00747282608695 37.16032608695652
18 38.711295871559635 39.17717889908257 37.26222826086956 36.75271739130435
19 39.57855504587156 39.5355504587156 37.78872282608695 37.77173913043478
20 41.076548165137616 41.27723623853211 37.26222826086956 37.24524456521739
21 39.31336009174312 39.25602064220183 37.00747282608695 37.61888586956522
22 39.628727064220186 39.678899082568805 37.63586956521739 37.99252717391305
23 40.194954128440365 40.173451834862384 37.27921195652174 37.00747282608695
24 40.72534403669725 41.12672018348624 37.36413043478261 36.66779891304348
25 41.3704128440367 41.076548165137616 37.09239130434783 36.514945652173914
26 42.09432339449541 42.13016055045872 37.109375 36.531929347826086
27 42.008314220183486 42.17316513761468 37.296195652173914 37.432065217391305
28 42.753727064220186 42.89707568807339 36.141304347826086 37.33016304347826
29 43.65682339449541 43.62098623853211 37.46603260869565 38.04347826086956
30 43.893348623853214 44.12270642201835 36.70176630434783 36.73573369565217
31 44.05103211009175 44.48824541284404 36.80366847826087 36.66779891304348
32 44.19438073394495 44.09403669724771 36.87160326086956 37.19429347826087
33 45.26949541284404 44.581422018348626 37.46603260869565 37.51698369565217
34 45.26949541284404 45.30533256880734 35.614809782608695 36.124320652173914
35 45.799885321100916 46.01490825688074 36.95652173913044 37.46603260869565
36 45.72104357798165 45.70670871559633 35.51290760869565 37.05842391304348
37 45.95756880733945 45.75688073394495 36.44701086956522 37.12635869565217
38 46.63130733944954 46.20126146788991 36.786684782608695 36.83763586956522
39 46.09375 46.272935779816514 35.27513586956522 36.141304347826086
40 46.99684633027523 47.226204128440365 36.82065217391305 37.12635869565217
41 47.21186926605505 47.14019495412844 37.26222826086956 37.60190217391305
42 47.21903669724771 47.190366972477065 36.17527173913044 35.68274456521739
43 47.64191513761468 47.39822247706422 35.81861413043478 36.260190217391305
44 47.65625 47.89994266055046 35.59782608695652 36.09035326086956
45 48.04329128440367 47.99311926605505 36.124320652173914 35.81861413043478
46 48.122133027522935 48.32998853211009 36.396059782608695 36.61684782608695
47 48.674025229357795 48.03612385321101 36.514945652173914 36.87160326086956
48 48.867545871559635 48.351490825688074 36.124320652173914 35.478940217391305
49 48.93922018348624 48.04329128440367 36.15828804347826 35.76766304347826
50 49.11123853211009 48.68836009174312 36.58288043478261 37.177309782608695
51 49.01089449541284 49.053899082568805 35.95448369565217 36.20923913043478
52 49.37643348623853 49.23308486238532 36.396059782608695 36.650815217391305
53 49.304759174311926 49.283256880733944 36.34510869565217 36.88858695652174
54 49.57712155963303 49.32626146788991 35.546875 34.71467391304348
55 49.684633027522935 49.44094036697248 37.24524456521739 36.19225543478261
56 49.86381880733945 49.63446100917431 36.260190217391305 35.88654891304348
57 50.12184633027523 49.81364678899082 36.10733695652174 35.17323369565217
58 50.13618119266055 50.04300458715596 36.15828804347826 36.37907608695652
59 50.329701834862384 50.13618119266055 35.9375 36.05638586956522
60 50.544724770642205 50.53755733944954 36.05638586956522 35.44497282608695
61 50.42287844036697 49.14707568807339 35.49592391304348 35.360054347826086
