epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 19.769021739130434 25.067934782608695
1 21.702981651376145 22.26920871559633 19.293478260869566 19.870923913043477
2 23.15080275229358 23.86754587155963 29.85733695652174 29.738451086956523
3 28.977924311926607 28.942087155963304 32.13315217391305 32.26902173913044
4 30.74827981651376 31.034977064220183 32.43885869565217 31.657608695652176
5 34.54701834862385 34.26748853211009 32.71059782608695 34.375
6 34.66169724770642 34.74053899082569 33.23709239130435 33.61073369565217
7 36.7545871559633 36.654243119266056 32.8125 31.89538043478261
8 38.45326834862385 38.43176605504587 29.56861413043478 29.755434782608695
9 39.39936926605505 38.90481651376147 35.37703804347826 35.27513586956522
10 39.50688073394495 40.21645642201835 30.29891304347826 31.351902173913043
11 41.99397935779817 41.7144495412844 33.22010869565217 33.61073369565217
12 42.73939220183486 42.48853211009175 30.570652173913043 31.199048913043477
13 42.98308486238532 43.19094036697248 27.81929347826087 27.751358695652176
14 43.2411123853211 43.56364678899082 30.34986413043478 30.230978260869566
15 45.57052752293578 45.69954128440367 30.21399456521739 29.840353260869566
16 46.38044724770642 46.53096330275229 30.078125 30.33288043478261
17 46.99684633027523 47.3480504587156 31.963315217391305 32.625679347826086
18 47.3480504587156 47.37672018348624 30.315896739130434 32.8125
19 47.684919724770644 47.84260321100918 32.79551630434783 33.72961956521739
20 48.21530963302752 48.20814220183486 28.719429347826086 30.60461956521739
21 48.68119266055046 48.15080275229358 30.027173913043477 29.874320652173914
22 49.99283256880734 49.50544724770642 30.876358695652176 30.129076086956523
23 49.935493119266056 49.73480504587156 32.999320652173914 32.72758152173913
24 50.70957568807339 50.72391055045872 33.406929347826086 33.81453804347826
25 50.93893348623853 50.79558486238532 32.72758152173913 32.235054347826086
26 51.36897935779817 51.06077981651376 32.84646739130435 32.25203804347826
27 51.777522935779814 51.86353211009175 32.16711956521739 33.10122282608695
28 51.57683486238532 51.8706995412844 30.961277173913043 31.148097826086957
29 52.00688073394495 52.279243119266056 32.11616847826087 30.77445652173913
30 52.028383027522935 52.15022935779817 32.43885869565217 32.59171195652174
31 52.71645642201835 52.580275229357795 32.880434782608695 32.28600543478261
32 52.95298165137615 52.87413990825688 31.487771739130434 32.33695652173913
33 53.48337155963303 53.877580275229356 30.146059782608695 31.13111413043478
34 53.8704128440367 53.361525229357795 31.674592391304348 31.11413043478261
35 54.27895642201835 54.2144495412844 31.50475543478261 29.976222826086957
36 54.508314220183486 54.35063073394495 31.13111413043478 29.95923913043478
37 54.235951834862384 54.20728211009175 30.94429347826087 31.72554347826087
38 54.74483944954128 54.73050458715596 29.840353260869566 29.110054347826086
39 55.26089449541284 55.03153669724771 31.81046195652174 31.89538043478261
40 55.01003440366973 54.94552752293578 31.623641304347824 31.91236413043478
41 55.533256880733944 55.37557339449541 32.47282608695652 31.963315217391305
42 55.784116972477065 55.84862385321101 30.68953804347826 32.18410326086956
43 55.83428899082569 56.27150229357798 30.570652173913043 31.097146739130434
44 56.04214449541284 56.35034403669725 31.50475543478261 31.86141304347826
45 55.96330275229358 56.199827981651374 30.910326086956523 31.33491847826087
46 56.17832568807339 56.37901376146789 31.199048913043477 31.012228260869566
47 56.91657110091743 57.00974770642202 30.010190217391305 29.976222826086957
48 56.945240825688074 56.9954128440367 32.16711956521739 31.36888586956522
49 56.89506880733945 57.02408256880734 30.77445652173913 31.929347826086957
50 57.16026376146789 56.87356651376147 33.30502717391305 31.589673913043477
51 56.852064220183486 56.90223623853211 31.36888586956522 31.300951086956523
52 57.246272935779814 57.18176605504587 30.910326086956523 29.90828804347826
53 57.65481651376147 57.497133027522935 32.30298913043478 31.640625
54 57.5043004587156 57.69065366972477 31.216032608695652 32.28600543478261
55 57.88417431192661 57.99885321100918 29.56861413043478 31.02921195652174
56 57.13876146788991 58.29271788990825 29.77241847826087 30.706521739130434
57 57.04558486238532 56.12815366972477 31.08016304347826 31.41983695652174
58 57.862672018348626 57.13159403669725 32.37092391304348 32.28600543478261
