epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 4.891304347826087 19.989809782608695
1 18.21961009174312 18.10493119266055 32.25203804347826 32.28600543478261
2 23.752866972477065 24.07540137614679 35.71671195652174 35.29211956521739
3 26.261467889908257 25.65223623853211 36.58288043478261 37.39809782608695
4 27.831135321100916 27.87413990825688 35.9375 36.73573369565217
5 29.458142201834864 29.479644495412845 37.24524456521739 38.43410326086956
6 31.020642201834864 30.75544724770642 39.30027173913044 38.40013586956522
7 32.85550458715596 32.58314220183486 37.567934782608695 37.39809782608695
8 33.55074541284404 33.507740825688074 36.82065217391305 36.514945652173914
9 34.43233944954128 34.38216743119266 39.28328804347826 39.09646739130435
10 36.4105504587156 35.74397935779817 39.96263586956522 39.249320652173914
11 37.4641628440367 37.5 40.06453804347826 38.92663043478261
12 38.10923165137615 38.5894495412844 37.16032608695652 36.44701086956522
13 39.0983371559633 39.08400229357798 38.26426630434783 37.58491847826087
14 39.99426605504587 40.14478211009175 37.75475543478261 37.90760869565217
15 40.45298165137615 40.34547018348624 36.88858695652174 36.786684782608695
16 41.02637614678899 41.04071100917431 37.99252717391305 38.19633152173913
17 41.735951834862384 41.50659403669725 39.09646739130435 38.04347826086956
18 42.48853211009175 42.424025229357795 37.02445652173913 38.04347826086956
19 42.237672018348626 42.30217889908257 38.31521739130435 38.70584239130435
20 43.29128440366973 43.31278669724771 37.21127717391305 37.83967391304348
21 41.92947247706422 42.18033256880734 36.514945652173914 36.95652173913044
22 42.00114678899082 41.836295871559635 38.349184782608695 37.92459239130435
23 42.768061926605505 42.639048165137616 37.65285326086956 37.39809782608695
24 43.685493119266056 43.7141628440367 38.02649456521739 37.686820652173914
25 44.26605504587156 43.76433486238532 38.43410326086956 39.19836956521739
26 44.60292431192661 44.62442660550459 37.890625 38.33220108695652
27 45.0043004587156 45.39134174311926 37.75475543478261 38.29823369565217
28 45.49885321100918 45.36983944954128 37.75475543478261 37.78872282608695
29 45.42717889908257 45.83572247706422 37.48301630434783 36.80366847826087
30 46.03641055045872 46.09375 36.58288043478261 37.5
31 46.423451834862384 46.68864678899082 37.51698369565217 37.48301630434783
32 46.74598623853211 46.824827981651374 37.83967391304348 38.17934782608695
33 47.16169724770642 47.039850917431195 37.19429347826087 36.922554347826086
34 47.00401376146789 47.21903669724771 37.05842391304348 38.12839673913044
35 47.190366972477065 46.939506880733944 36.05638586956522 36.68478260869565
36 47.57740825688074 47.61324541284404 36.80366847826087 37.16032608695652
37 48.13646788990825 47.87844036697248 36.46399456521739 37.09239130434783
38 48.258314220183486 47.73509174311926 37.24524456521739 37.22826086956522
39 49.075401376146786 40.66800458715596 36.922554347826086 30.264945652173914
40 49.534116972477065 45.29816513761468 36.24320652173913 36.43002717391305
41 48.99655963302752 48.1651376146789 37.44904891304348 37.85665760869565
42 48.84604357798165 48.83170871559633 37.14334239130435 37.34714673913044
43 49.21875 48.466169724770644 36.396059782608695 36.37907608695652
44 49.362098623853214 48.81020642201835 36.29415760869565 36.82065217391305
45 49.41227064220183 49.247419724770644 36.328125 36.88858695652174
46 49.31909403669725 49.6918004587156 36.83763586956522 36.68478260869565
47 49.397935779816514 49.51978211009175 36.260190217391305 35.68274456521739
48 49.89965596330275 50.05733944954128 36.87160326086956 36.17527173913044
49 50.12184633027523 50.37987385321101 37.16032608695652 36.49796195652174
50 50.236525229357795 50.34403669724771 36.24320652173913 35.56385869565217
51 50.25086009174312 49.92832568807339 36.56589673913044 36.09035326086956
52 50.3081995412844 50.05733944954128 36.22622282608695 36.70176630434783
53 50.0358371559633 49.92832568807339 36.99048913043478 36.83763586956522
54 50.37987385321101 50.40137614678899 36.63383152173913 36.19225543478261
55 50.731077981651374 50.731077981651374 35.98845108695652 35.66576086956522
56 50.68090596330275 50.55905963302752 35.750679347826086 34.40896739130435
57 51.46932339449541 49.19724770642202 36.44701086956522 36.09035326086956
58 51.00344036697248 50.7454128440367 35.68274456521739 35.42798913043478
59 51.26146788990825 51.23996559633027 36.07336956521739 36.786684782608695
60 51.10378440366973 51.45498853211009 36.22622282608695 36.531929347826086
61 51.36897935779817 51.533830275229356 36.49796195652174 35.66576086956522
62 51.325974770642205 51.58400229357798 35.546875 36.22622282608695
63 51.61983944954128 51.63417431192661 36.56589673913044 36.34510869565217
64 51.65567660550459 51.31880733944954 34.47690217391305 34.79959239130435
65 52.10005733944954 51.799025229357795 34.52785326086956 35.05434782608695
66 51.75602064220183 51.44782110091743 35.25815217391305 35.27513586956522
67 52.10005733944954 51.77035550458716 35.90353260869565 35.39402173913044
68 52.393922018348626 51.67717889908257 35.56385869565217 34.952445652173914
69 52.30074541284404 52.393922018348626 36.260190217391305 36.328125
70 52.128727064220186 51.82769495412844 35.750679347826086 36.124320652173914
71 52.372419724770644 51.383314220183486 34.39198369565217 34.85054347826087
72 52.59461009174312 52.28641055045872 35.64877717391305 35.69972826086956
73 52.8526376146789 52.20756880733945 34.32404891304348 34.39198369565217
74 52.659116972477065 52.21473623853211 34.51086956521739 35.41100543478261
75 53.1608371559633 53.074827981651374 35.52989130434783 34.88451086956522
76 53.01032110091743 52.831135321100916 34.54483695652174 34.88451086956522
77 52.659116972477065 53.060493119266056 35.360054347826086 35.46195652173913
78 52.773795871559635 52.85980504587156 35.224184782608695 34.79959239130435
79 53.175172018348626 53.20384174311926 35.85258152173913 35.10529891304348
80 53.304185779816514 53.325688073394495 35.224184782608695 35.83559782608695
81 53.37586009174312 53.074827981651374 34.442934782608695 35.52989130434783
82 53.268348623853214 53.46186926605505 33.69565217391305 35.37703804347826
83 50.845756880733944 52.200401376146786 33.55978260869565 34.00135869565217
84 51.64134174311926 53.340022935779814 34.71467391304348 35.12228260869565
85 53.64105504587156 53.576548165137616 35.78464673913044 34.59578804347826
86 53.51204128440367 53.08199541284404 34.78260869565217 34.79959239130435
87 53.074827981651374 52.293577981651374 35.00339673913044 35.42798913043478
88 53.691227064220186 53.01032110091743 35.088315217391305 35.750679347826086
89 54.09260321100918 53.67689220183486 35.66576086956522 35.27513586956522
90 54.1786123853211 53.727064220183486 35.20720108695652 35.30910326086956
91 54.07826834862385 53.289850917431195 35.03736413043478 34.40896739130435
92 54.07826834862385 53.35435779816514 35.10529891304348 34.833559782608695
93 54.52981651376147 54.13560779816514 35.52989130434783 35.27513586956522
94 54.372133027522935 54.106938073394495 35.24116847826087 35.224184782608695
95 54.27895642201835 54.43663990825688 35.30910326086956 35.41100543478261
96 53.68405963302752 54.27895642201835 36.31114130434783 35.97146739130435
97 54.071100917431195 54.44380733944954 35.69972826086956 35.97146739130435
98 54.28612385321101 54.472477064220186 34.25611413043478 34.54483695652174
99 54.4151376146789 54.58715596330275 34.91847826086956 34.47690217391305
100 54.66599770642202 54.74483944954128 35.46195652173913 35.15625
