epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 4.6365489130434785 5.332880434782608
1 17.696387614678898 18.37012614678899 25.0 25.0
2 20.921731651376145 21.014908256880734 29.85733695652174 30.34986413043478
3 22.075688073394495 22.40538990825688 30.72350543478261 31.47078804347826
4 23.803038990825687 24.068233944954127 32.98233695652174 33.25407608695652
5 25.315366972477065 25.487385321100916 36.02241847826087 35.546875
6 26.454988532110093 26.376146788990827 35.25815217391305 35.88654891304348
7 27.501433486238533 27.358084862385322 36.66779891304348 36.10733695652174
8 29.04243119266055 29.099770642201836 36.396059782608695 37.02445652173913
9 29.859518348623855 29.29329128440367 37.890625 38.671875
10 31.36467889908257 31.300172018348626 38.06046195652174 38.994565217391305
11 32.43979357798165 32.246272935779814 39.21535326086956 39.18138586956522
12 33.66542431192661 33.47190366972477 39.18138586956522 39.47010869565217
13 34.461009174311926 34.159977064220186 37.822690217391305 37.16032608695652
14 35.012901376146786 35.04157110091743 38.72282608695652 38.26426630434783
15 34.94839449541284 34.73337155963303 38.33220108695652 38.92663043478261
16 36.252866972477065 36.267201834862384 37.73777173913044 38.75679347826087
17 37.034116972477065 37.54300458715596 37.90760869565217 39.02853260869565
18 37.700688073394495 37.49283256880734 38.00951086956522 38.43410326086956
19 38.102064220183486 38.45326834862385 38.92663043478261 39.69089673913044
20 38.919151376146786 38.96932339449541 38.63790760869565 38.92663043478261
21 39.5355504587156 39.65739678899082 38.63790760869565 39.19836956521739
22 39.8795871559633 40.08744266055046 37.822690217391305 38.36616847826087
23 40.74684633027523 40.45298165137615 37.92459239130435 38.16236413043478
24 40.73251146788991 41.1338876146789 37.78872282608695 37.78872282608695
25 41.79329128440367 42.022649082568805 38.80774456521739 37.83967391304348
26 42.10865825688074 42.32368119266055 38.19633152173913 38.04347826086956
27 42.41685779816514 41.94380733944954 37.36413043478261 37.00747282608695
28 43.133600917431195 42.825401376146786 37.48301630434783 37.041440217391305
29 44.02952981651376 43.93635321100918 38.11141304347826 38.349184782608695
30 44.559919724770644 44.294724770642205 37.99252717391305 38.40013586956522
31 44.11553899082569 41.56393348623853 37.703804347826086 36.31114130434783
32 44.45240825688074 43.4776376146789 37.85665760869565 37.63586956521739
33 45.111811926605505 45.26949541284404 37.890625 38.00951086956522
34 45.59202981651376 45.61353211009175 38.04347826086956 38.28125
35 45.55619266055046 45.491685779816514 37.99252717391305 38.12839673913044
36 45.75688073394495 46.07224770642202 38.79076086956522 37.890625
37 46.09375 46.065080275229356 37.16032608695652 36.46399456521739
38 46.18692660550459 46.34461009174312 37.703804347826086 37.22826086956522
39 46.74598623853211 46.78182339449541 37.99252717391305 37.686820652173914
40 46.94667431192661 47.06135321100918 37.12635869565217 37.38111413043478
41 46.007740825688074 46.09375 38.55298913043478 37.60190217391305
42 46.007740825688074 46.21559633027523 37.02445652173913 37.26222826086956
43 46.28010321100918 46.24426605504587 37.00747282608695 37.73777173913044
44 46.51662844036697 46.94667431192661 37.48301630434783 36.95652173913044
45 46.88933486238532 46.73881880733945 37.66983695652174 36.83763586956522
46 46.73881880733945 47.39105504587156 37.00747282608695 37.041440217391305
47 47.455561926605505 47.190366972477065 37.05842391304348 36.76970108695652
48 47.799598623853214 47.63474770642202 37.5 37.48301630434783
49 47.91427752293578 47.44839449541284 38.29823369565217 37.686820652173914
50 48.372993119266056 48.07912844036697 37.109375 37.99252717391305
51 48.50917431192661 48.107798165137616 37.12635869565217 37.72078804347826
52 47.94294724770642 48.107798165137616 37.46603260869565 37.66983695652174
53 48.580848623853214 48.43033256880734 37.19429347826087 37.55095108695652
54 48.57368119266055 48.903383027522935 35.85258152173913 37.53396739130435
55 48.007454128440365 48.15797018348624 37.822690217391305 37.60190217391305
