epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 4.6365489130434785 5.332880434782608
1 27.35091743119266 27.573107798165136 32.47282608695652 33.50883152173913
2 32.11009174311926 32.51146788990825 35.81861413043478 35.56385869565217
3 34.919724770642205 35.57912844036697 39.75883152173913 38.94361413043478
4 37.643348623853214 37.65768348623853 43.01970108695652 42.74796195652174
5 39.757740825688074 39.76490825688074 42.000679347826086 41.30434782608695
6 40.85435779816514 40.840022935779814 40.98165760869565 40.692934782608695
7 42.2233371559633 42.16599770642202 42.44225543478261 42.30638586956522
8 42.997419724770644 42.81823394495413 44.208559782608695 43.18953804347826
9 44.63876146788991 44.05103211009175 41.89877717391305 42.93478260869565
10 45.64936926605505 45.893061926605505 43.69904891304348 42.91779891304348
11 46.308772935779814 46.46645642201835 44.327445652173914 43.71603260869565
12 47.441227064220186 47.84977064220183 45.14266304347826 44.735054347826086
13 48.272649082568805 48.294151376146786 44.36141304347826 43.953804347826086
14 49.362098623853214 49.534116972477065 44.81997282608695 44.463315217391305
15 50.2723623853211 50.26519495412844 44.80298913043478 44.208559782608695
16 50.17201834862385 50.38704128440367 43.76698369565217 44.31046195652174
17 51.20412844036697 51.627006880733944 43.97078804347826 43.75
18 50.76691513761468 51.15395642201835 42.47622282608695 43.817934782608695
19 51.705848623853214 51.8348623853211 43.83491847826087 44.344429347826086
20 52.257740825688074 52.408256880733944 44.15760869565217 44.24252717391305
21 53.08199541284404 52.49426605504587 44.41236413043478 43.71603260869565
22 53.50487385321101 53.590883027522935 44.072690217391305 44.61616847826087
23 53.71272935779817 54.235951834862384 43.25747282608695 43.52921195652174
24 54.30045871559633 54.44380733944954 43.83491847826087 43.76698369565217
25 54.7233371559633 54.76634174311926 44.27649456521739 44.140625
26 54.75917431192661 55.14621559633027 44.463315217391305 44.072690217391305
27 54.95269495412844 55.174885321100916 44.08967391304348 44.15760869565217
28 55.54042431192661 54.9598623853211 43.13858695652174 43.75
29 55.67660550458716 55.72677752293578 43.682065217391305 43.97078804347826
30 55.73394495412844 55.64076834862385 42.781929347826086 43.73301630434783
31 56.034977064220186 56.63704128440367 44.08967391304348 44.00475543478261
32 56.852064220183486 56.887901376146786 43.69904891304348 43.71603260869565
33 56.93807339449541 57.26060779816514 43.64809782608695 43.83491847826087
34 56.76605504587156 56.565366972477065 43.83491847826087 43.12160326086956
35 57.03125 57.231938073394495 43.172554347826086 43.58016304347826
36 57.382454128440365 57.29644495412844 42.66304347826087 42.03464673913044
37 57.71215596330275 57.461295871559635 43.24048913043478 43.37635869565217
38 57.75516055045872 58.106364678899084 43.22350543478261 42.119565217391305
39 57.991685779816514 57.96301605504587 42.764945652173914 43.036684782608695
40 58.428899082568805 58.58658256880734 43.47826086956522 42.81589673913044
41 58.808772935779814 58.17087155963303 43.59714673913044 42.391304347826086
42 58.808772935779814 58.758600917431195 43.24048913043478 43.18953804347826
43 59.10980504587156 58.8661123853211 42.66304347826087 42.66304347826087
44 59.1026376146789 59.231651376146786 43.05366847826087 42.66304347826087
45 59.52551605504587 59.48251146788991 41.88179347826087 42.01766304347826
46 58.78010321100918 57.92001146788991 43.427309782608695 43.27445652173913
47 59.74770642201835 58.923451834862384 43.52921195652174 42.71399456521739
48 59.826548165137616 59.63302752293578 42.81589673913044 42.15353260869565
49 60.11324541284404 60.00573394495413 43.37635869565217 43.12160326086956
50 59.75487385321101 60.04157110091743 42.56114130434783 43.291440217391305
51 60.00573394495413 61.08801605504587 43.036684782608695 43.682065217391305
52 60.24942660550459 60.32826834862385 43.46127717391305 42.66304347826087
53 60.49311926605505 60.206422018348626 42.81589673913044 42.83288043478261
54 60.84432339449541 60.67947247706422 43.61413043478261 43.10461956521739
55 60.52895642201835 60.28526376146789 42.98573369565217 42.96875
56 60.987672018348626 61.21702981651376 43.37635869565217 42.79891304347826
