epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 4.6365489130434785 5.332880434782608
1 25.766915137614678 25.458715596330276 26.08695652173913 26.579483695652176
2 35.4644495412844 35.68663990825688 32.50679347826087 32.421875
3 43.06909403669725 43.29128440366973 31.012228260869566 30.621603260869566
4 48.28698394495413 48.68836009174312 30.63858695652174 31.046195652173914
5 52.72362385321101 52.93147935779817 30.74048913043478 29.738451086956523
6 56.14965596330275 56.15682339449541 30.24796195652174 30.825407608695652
7 57.575974770642205 57.955848623853214 30.519701086956523 31.86141304347826
8 59.45384174311926 59.10980504587156 29.17798913043478 30.536684782608695
9 59.805045871559635 59.99856651376147 28.68546195652174 28.057065217391305
10 60.106077981651374 60.03440366972477 27.887228260869566 29.55163043478261
11 60.86582568807339 61.06651376146789 30.859375 28.90625
12 61.47505733944954 61.84059633027523 30.061141304347824 29.41576086956522
13 62.38532110091743 62.63618119266055 28.940217391304348 29.17798913043478
14 62.85837155963303 62.951548165137616 27.683423913043477 29.38179347826087
15 62.90137614678899 62.76519495412844 29.85733695652174 29.82336956521739
16 62.930045871559635 63.13073394495413 31.25 31.08016304347826
17 62.965883027522935 62.91571100917431 29.093070652173914 28.99116847826087
18 63.20957568807339 63.03755733944954 27.972146739130434 28.074048913043477
19 63.252580275229356 63.3170871559633 29.840353260869566 29.008152173913043
20 62.87270642201835 63.03038990825688 28.753396739130434 28.889266304347824
21 63.48910550458716 63.60378440366973 27.309782608695652 28.023097826086957
22 63.36009174311926 63.65395642201835 29.653532608695652 28.940217391304348
23 63.56077981651376 63.69696100917431 27.938179347826086 28.125
24 63.367259174311926 63.732798165137616 28.73641304347826 28.90625
25 63.91198394495413 63.83314220183486 28.277853260869566 27.292798913043477
26 63.632454128440365 63.883314220183486 27.700407608695652 28.362771739130434
27 63.81880733944954 63.997993119266056 28.957201086956523 28.34578804347826
28 63.92631880733945 63.044724770642205 29.330842391304348 29.55163043478261
29 64.16284403669725 63.610951834862384 30.38383152173913 29.262907608695652
30 64.36353211009174 63.89048165137615 30.112092391304348 28.73641304347826
31 64.47821100917432 64.38503440366972 28.023097826086957 27.85326086956522
32 64.61439220183486 64.51404816513761 30.281929347826086 29.17798913043478
33 64.14850917431193 64.01232798165138 29.17798913043478 30.400815217391305
34 64.44237385321101 64.56422018348624 28.77038043478261 30.21399456521739
35 64.65739678899082 64.59288990825688 28.65149456521739 29.55163043478261
36 64.51404816513761 64.72907110091744 29.500679347826086 28.549592391304348
37 64.46387614678899 64.72190366972477 28.464673913043477 29.110054347826086
38 64.45670871559633 64.69323394495413 30.60461956521739 27.768342391304348
39 64.23451834862385 64.30619266055047 30.112092391304348 30.655570652173914
40 64.4065366972477 64.32769495412845 28.125 28.804347826086957
41 64.7720756880734 64.45670871559633 29.008152173913043 30.112092391304348
42 64.43520642201835 64.44237385321101 28.566576086956523 29.12703804347826
43 64.7720756880734 64.72190366972477 29.07608695652174 30.112092391304348
44 65.20928899082568 65.1161123853211 30.502717391304348 29.95923913043478
45 65.40997706422019 65.4243119266055 31.199048913043477 30.808423913043477
46 65.45298165137615 65.36697247706422 30.74048913043478 29.670516304347824
47 65.23079128440367 65.14478211009174 29.77241847826087 29.313858695652176
48 65.23795871559633 65.13044724770643 28.82133152173913 29.12703804347826
49 65.26662844036697 65.07310779816514 29.02513586956522 29.449728260869566
50 65.29529816513761 64.93692660550458 28.78736413043478 29.891304347826086
51 65.23079128440367 64.80074541284404 29.94225543478261 29.721467391304348
52 64.97276376146789 64.70040137614679 28.481657608695652 29.04211956521739
53 64.7362385321101 64.59288990825688 30.72350543478261 28.34578804347826
54 64.06966743119266 64.09116972477064 29.670516304347824 28.668478260869566
55 64.1341743119266 64.9154243119266 28.974184782608695 28.855298913043477
